nohup: ignoring input
Rotating training data by -20.00 degrees...
Rotating training data by -6.67 degrees...
Rotating training data by 6.67 degrees...
Rotating training data by 20.00 degrees...
 --- Neural Network Parameters -------------------------
Layer 1 size: 676, Layer 2 size: 169
Layer 3 size: 25, Layer 4 size: 10
Total neurons: 880
Total parameters: 648703
--------------------------------------------------------
[Epoch 000] Train Loss: 1.9585, Acc: 11.24%, Test Loss: 1.9582, Acc: 11.35%
[Epoch 010] Train Loss: 0.2549, Acc: 90.83%, Test Loss: 0.2589, Acc: 90.70%
[Epoch 020] Train Loss: 0.0915, Acc: 97.14%, Test Loss: 0.1028, Acc: 96.56%
[Epoch 030] Train Loss: 0.0563, Acc: 98.19%, Test Loss: 0.0752, Acc: 97.62%
[Epoch 040] Train Loss: 0.0358, Acc: 98.89%, Test Loss: 0.0595, Acc: 98.15%
[Epoch 050] Train Loss: 0.0264, Acc: 99.19%, Test Loss: 0.0570, Acc: 98.20%
[Epoch 060] Train Loss: 0.0260, Acc: 99.19%, Test Loss: 0.0564, Acc: 98.22%
[Epoch 070] Train Loss: 0.0151, Acc: 99.53%, Test Loss: 0.0513, Acc: 98.38%
[Epoch 080] Train Loss: 0.0141, Acc: 99.55%, Test Loss: 0.0543, Acc: 98.27%
[Epoch 090] Train Loss: 0.0136, Acc: 99.56%, Test Loss: 0.0520, Acc: 98.47%
[Epoch 100] Train Loss: 0.0099, Acc: 99.68%, Test Loss: 0.0495, Acc: 98.48%
[Epoch 110] Train Loss: 0.0072, Acc: 99.77%, Test Loss: 0.0516, Acc: 98.40%
[Epoch 120] Train Loss: 0.0072, Acc: 99.76%, Test Loss: 0.0494, Acc: 98.50%
[Epoch 130] Train Loss: 0.0086, Acc: 99.72%, Test Loss: 0.0501, Acc: 98.49%
[Epoch 140] Train Loss: 0.0069, Acc: 99.77%, Test Loss: 0.0506, Acc: 98.46%
[Epoch 150] Train Loss: 0.0061, Acc: 99.81%, Test Loss: 0.0439, Acc: 98.76%
[Epoch 160] Train Loss: 0.0050, Acc: 99.83%, Test Loss: 0.0476, Acc: 98.57%
[Epoch 170] Train Loss: 0.0086, Acc: 99.73%, Test Loss: 0.0554, Acc: 98.33%
[Epoch 180] Train Loss: 0.0059, Acc: 99.82%, Test Loss: 0.0529, Acc: 98.40%
[Epoch 190] Train Loss: 0.0046, Acc: 99.85%, Test Loss: 0.0504, Acc: 98.48%
[Epoch 200] Train Loss: 0.0026, Acc: 99.91%, Test Loss: 0.0446, Acc: 98.70%
[Epoch 210] Train Loss: 0.0031, Acc: 99.89%, Test Loss: 0.0460, Acc: 98.61%
[Epoch 220] Train Loss: 0.0033, Acc: 99.90%, Test Loss: 0.0473, Acc: 98.72%
[Epoch 230] Train Loss: 0.0022, Acc: 99.93%, Test Loss: 0.0478, Acc: 98.64%
[Epoch 240] Train Loss: 0.0036, Acc: 99.88%, Test Loss: 0.0456, Acc: 98.68%
[Epoch 250] Train Loss: 0.0035, Acc: 99.88%, Test Loss: 0.0465, Acc: 98.62%
[Epoch 260] Train Loss: 0.0029, Acc: 99.91%, Test Loss: 0.0487, Acc: 98.60%
[Epoch 270] Train Loss: 0.0032, Acc: 99.89%, Test Loss: 0.0451, Acc: 98.72%
[Epoch 280] Train Loss: 0.0017, Acc: 99.95%, Test Loss: 0.0416, Acc: 98.84%
